Prov/Terr,CD/DR,CSD/SDR,CMA-CA/RMR-AR,Classification,Description,Total - Taxable Returns/Total - Déclarations imposables,Total Income - Taxable Returns/Revenu total - Déclarations imposables,Total Tax - Taxable Returns/Impôt total- Déclarations imposables,Average Income - Taxable Returns/  Revenu moyen - Déclarations imposables,Total - All Returns/Total - Toutes les déclarations,Total Income - All Returns/Revenu total - Toutes les déclarations ,"Under $10,000 - All Returns/Moins de 10 000$ - Toutes les déclarations ","$10,000 to $14,999 - All Returns/10 000$ à 14 999$ - Toutes les déclarations ","$15,000 to $19,999 - All Returns/15 000$ à 19 999$ - Toutes les déclarations","$20,000 to $24,999 - All Returns/20 000$ à 24 999$ - Toutes les déclarations ","$25,000 to $29,999 - All Returns/25 000$ à 29 999$ - Toutes les déclarations","$30,000 to $34,999 - All Returns/30 000$ à 34 999$ - Toutes les déclarations ","$35,000 to $39,999 - All Returns/35 000$ à 39 999$ - Toutes les déclarations","$40,000 to $44,999 - All Returns/40 000$ à 44 999$ - Toutes les déclarations ","$45,000 to $49,999 - All Returns/45 000$ à 49 999$ - Toutes les déclarations","$50,000 to $59,999 - All Returns/50 000$ à 59 999$ - Toutes les déclarations ","$60,000 to $69,999 - All Returns/60 000$ à 69 999$ - Toutes les déclarations ","$70,000 to $79,999 - All Returns/70 000$ à 79 999$ - Toutes les déclarations ","$80,000 to $89,999 - All Returns/80 000$ à 89 999$ - Toutes les déclarations ","$90,000 to $99,999 - All Returns/90 000$ à 99 999$ - Toutes les déclarations ","$100,000 to $149,999 - All Returns/100 000$ à 149 999$ - Toutes les déclarations ","$150,000 to $249,999 - All Returns/150 000$ à 249 999$ - Toutes les déclarations ","$250,000 and over - All Returns/250 000$ et plus - Toutes les déclarations ",Average Income - All Returns/  Revenu moyen - Toutes les déclarations
24,42,45,0,OUT/EXT     ,Lawrenceville,320,12295000,992000,39000,500,14542000,80,40,70,50,40,50,40,30,20,40,20,,,,,,,29000
24,42,50,0,OUT/EXT     ,Sainte-Anne-de-la-Rochelle,270,11447000,968000,42000,470,13577000,100,60,60,40,30,40,30,30,10,30,20,10,,,,,,29000
24,42,55,0,OUT/EXT     ,Valcourt,1690,75313000,6793000,45000,2580,86544000,360,260,290,220,200,200,210,190,150,190,110,70,50,30,30,10,,33000
24,42,65,0,OUT/EXT     ,Maricourt,150,5723000,447000,39000,270,7132000,60,40,30,20,30,20,20,20,10,20,,,,,,,,26000
24,42,70,0,OUT/EXT     ,Kingsbury,190,7762000,664000,40000,340,9440000,70,40,50,30,30,30,20,20,10,20,10,,,,,,,28000
24,42,78,0,OUT/EXT     ,Ulverton,200,10574000,1166000,53000,320,11733000,60,30,30,20,30,30,10,20,20,20,20,10,,,,,,37000
24,42,88,0,OUT/EXT     ,Windsor,3680,160966000,14371000,44000,6190,191928000,1000,720,810,630,500,490,440,320,230,320,270,190,110,40,80,20,10,31000
24,42,95,0,OUT/EXT     ,Val-Joli,350,15813000,1344000,45000,600,18706000,120,70,60,50,40,60,40,40,20,40,20,20,,,10,,,31000
24,42,98,0,OUT/EXT     ,Richmond,1830,72677000,6060000,40000,3360,91975000,600,430,530,370,290,240,250,170,110,160,80,60,30,10,30,10,,27000
24,42,100,0,OUT/EXT     ,Saint-Claude,50,1803000,145000,39000,110,2527000,20,20,20,,,,,,,,,,,,,,,24000
24,42,110,0,OUT/EXT     ,Cleveland,390,16886000,1527000,44000,640,20294000,100,70,90,80,50,60,40,30,30,40,30,20,,,,,,32000
24,42,0,0,TOTAL       ,Total (CD/DR),11200,493089000,44391000,44000,18630,585308000,3050,2120,2400,1790,1490,1480,1310,1090,800,1100,720,490,290,130,250,70,40,31000
24,44,3,0,OUT/EXT     ,Saint-Malo,210,7916000,561000,38000,370,9979000,60,50,60,40,30,30,30,20,10,20,,,,,,,,27000
24,44,10,0,OUT/EXT     ,East Hereford,160,6582000,583000,42000,320,8503000,70,50,40,40,20,30,30,10,,10,,,,,,,,27000
24,44,15,0,OUT/EXT     ,Saint-Herménégilde,250,9844000,870000,40000,480,12633000,90,80,70,40,50,30,30,20,20,10,10,,,,,,,27000
24,44,23,0,OUT/EXT     ,Dixville,240,9378000,619000,39000,400,11328000,60,70,40,60,30,40,30,20,10,20,,,,,,,,28000
24,44,37,0,OUT/EXT     ,Coaticook,4390,177406000,14310000,40000,7510,218430000,1110,960,1100,840,700,660,550,400,280,360,200,130,70,50,90,40,,29000
24,44,55,0,OUT/EXT     ,Sainte-Edwidge-de-Clifton,200,7931000,669000,40000,350,9741000,80,30,50,30,30,30,30,20,10,20,,,10,,,,,28000
24,44,60,0,OUT/EXT     ,Martinville,400,16477000,1372000,41000,660,19633000,100,100,80,60,60,50,40,40,30,50,20,10,,,,,,30000
24,44,0,0,TOTAL       ,Total (CD/DR),5840,235534000,18984000,40000,10070,290247000,1560,1330,1440,1100,910,860,730,550,370,490,250,160,90,60,110,50,20,29000
24,45,8,0,OUT/EXT     ,Stanstead,1760,75104000,6408000,43000,3300,94773000,640,440,460,390,290,230,190,160,100,130,80,60,30,30,50,10,10,29000
24,45,25,0,OUT/EXT     ,Stanstead,400,24258000,2637000,60000,680,27728000,120,70,80,60,50,50,40,40,20,50,30,10,10,,20,,10,41000
24,45,30,0,OUT/EXT     ,Potton,930,44342000,4030000,48000,1570,52418000,260,210,210,160,140,130,90,80,50,80,40,40,20,20,30,20,,33000
24,45,35,0,OUT/EXT     ,Ayer's Cliff,1200,65573000,6864000,55000,1990,76443000,310,240,250,180,150,150,110,130,80,100,90,50,40,20,40,30,20,38000
24,45,60,0,OUT/EXT     ,Sainte-Catherine-de-Hatley,1290,71129000,7684000,55000,1860,78432000,240,180,170,150,140,110,140,120,110,130,100,70,40,30,70,30,20,42000
24,45,80,0,OUT/EXT     ,Saint-Benoît-du-Lac,,,,,30,365000,,20,,,,,,,,,,,,,,,,13000
24,45,85,0,OUT/EXT     ,Austin,780,44189000,4687000,57000,1190,49264000,180,110,140,100,90,80,80,70,50,80,50,40,20,20,50,20,10,42000
24,45,93,0,OUT/EXT     ,Eastman,1100,59978000,6225000,54000,1560,66385000,200,120,170,150,120,120,100,120,80,110,80,50,40,20,60,30,10,42000
24,45,95,0,OUT/EXT     ,Bolton-Est,460,23477000,2411000,51000,770,27417000,150,80,90,60,60,60,50,40,30,40,40,30,10,,20,,,35000
24,45,100,0,OUT/EXT     ,Saint-Étienne-de-Bolton,250,11920000,1053000,47000,400,13699000,60,40,50,40,30,30,30,30,20,30,20,,,,10,,,34000
