Prov/Terr,CD/DR,CSD/SDR,CMA-CA/RMR-AR,Classification,Description,Total - Taxable Returns/Total - Déclarations imposables,Total Income - Taxable Returns/Revenu total - Déclarations imposables,Total Tax - Taxable Returns/Impôt total- Déclarations imposables,Average Income - Taxable Returns/  Revenu moyen - Déclarations imposables,Total - All Returns/Total - Toutes les déclarations,Total Income - All Returns/Revenu total - Toutes les déclarations ,"Under $10,000 - All Returns/Moins de 10 000$ - Toutes les déclarations ","$10,000 to $14,999 - All Returns/10 000$ à 14 999$ - Toutes les déclarations ","$15,000 to $19,999 - All Returns/15 000$ à 19 999$ - Toutes les déclarations","$20,000 to $24,999 - All Returns/20 000$ à 24 999$ - Toutes les déclarations ","$25,000 to $29,999 - All Returns/25 000$ à 29 999$ - Toutes les déclarations","$30,000 to $34,999 - All Returns/30 000$ à 34 999$ - Toutes les déclarations ","$35,000 to $39,999 - All Returns/35 000$ à 39 999$ - Toutes les déclarations","$40,000 to $44,999 - All Returns/40 000$ à 44 999$ - Toutes les déclarations ","$45,000 to $49,999 - All Returns/45 000$ à 49 999$ - Toutes les déclarations","$50,000 to $59,999 - All Returns/50 000$ à 59 999$ - Toutes les déclarations ","$60,000 to $69,999 - All Returns/60 000$ à 69 999$ - Toutes les déclarations ","$70,000 to $79,999 - All Returns/70 000$ à 79 999$ - Toutes les déclarations ","$80,000 to $89,999 - All Returns/80 000$ à 89 999$ - Toutes les déclarations ","$90,000 to $99,999 - All Returns/90 000$ à 99 999$ - Toutes les déclarations ","$100,000 to $149,999 - All Returns/100 000$ à 149 999$ - Toutes les déclarations ","$150,000 to $249,999 - All Returns/150 000$ à 249 999$ - Toutes les déclarations ","$250,000 and over - All Returns/250 000$ et plus - Toutes les déclarations ",Average Income - All Returns/  Revenu moyen - Toutes les déclarations
10,0,0,1,CMA/RMR     ,St. John's,108880,6105018000,1134392000,56000,153060,6559028000,23170,14880,13870,11530,10430,9920,9820,8380,7270,11190,8070,6610,4880,3150,6390,2440,1060,43000
10,0,0,0,TOTAL       ,Total (CMA/RMR),108880,6105018000,1134392000,56000,153060,6559028000,23170,14880,13870,11530,10430,9920,9820,8380,7270,11190,8070,6610,4880,3150,6390,2440,1060,43000
10,0,0,5,CA/AR       ,Bay Roberts,5370,237340000,37604000,44000,8750,273670000,1600,1230,1180,800,650,610,480,370,270,440,290,260,210,100,210,60,10,31000
10,0,0,10,CA/AR       ,Grand Falls-Windsor,7780,363345000,58577000,47000,11480,402495000,1780,1360,1460,1040,870,740,750,600,450,660,470,420,290,170,280,100,40,35000
10,0,0,15,CA/AR       ,Corner Brook,15930,739477000,119278000,46000,23360,819676000,3550,2560,2940,2160,1830,1650,1600,1170,990,1400,1080,820,570,300,490,170,80,35000
10,0,0,0,TOTAL       ,Total (CA/AR),29070,1340161000,215459000,46000,43590,1495840000,6930,5150,5580,4000,3350,3000,2830,2140,1700,2490,1840,1500,1070,570,980,320,140,34000
10,1,113,0,OUT/EXT     ,Trepassey,500,20372000,2986000,41000,800,23631000,150,100,140,80,50,70,40,30,20,40,20,20,20,10,20,,,30000
10,1,120,0,OUT/EXT     ,St. Shott's,60,2768000,431000,44000,90,3110000,,20,10,10,,,,,,,,,,,,,,33000
10,1,124,0,OUT/EXT     ,"Division No. 1, Subd. U",760,33131000,5094000,44000,1110,36970000,170,110,150,120,70,70,80,80,50,70,40,40,20,10,20,,,33000
10,1,126,0,OUT/EXT     ,Cape Broyle,410,17346000,2557000,42000,640,19871000,100,90,100,60,50,60,50,30,20,30,20,10,10,,10,10,,31000
10,1,131,0,OUT/EXT     ,Renews-Cappahayden,210,8529000,1183000,40000,310,9640000,40,40,50,40,30,30,20,,10,10,10,,,,10,,,31000
10,1,136,0,OUT/EXT     ,Fermeuse,230,9603000,1354000,42000,350,10979000,50,50,50,30,40,20,30,20,,10,10,,,,10,,,32000
10,1,144,0,OUT/EXT     ,Aquaforte,30,1072000,157000,37000,50,1263000,10,10,,,,,,,,,,,,,,,,24000
10,1,149,0,OUT/EXT     ,Ferryland,320,14461000,2375000,45000,490,16342000,60,70,80,60,30,40,30,20,10,30,10,20,,,10,,,33000
10,1,169,0,OUT/EXT     ,St. Vincent's St. Stephen's Peter's River,180,6842000,1073000,38000,310,8446000,40,70,60,30,20,10,20,10,,10,10,,,,,,,27000
10,1,178,0,OUT/EXT     ,St. Mary's,570,24273000,3963000,43000,930,28401000,140,170,140,80,70,60,50,30,40,30,20,20,,10,40,,,30000
10,1,192,0,OUT/EXT     ,St. Joseph's,100,4282000,647000,42000,150,4836000,20,20,20,10,10,10,10,10,,,,,,,,,,33000
10,1,197,0,OUT/EXT     ,Mount Carmel-Mitchells Brook-St. Catherines,440,18705000,3103000,43000,680,21348000,100,100,110,70,50,50,40,40,20,40,20,,,10,20,,,32000
10,1,203,0,OUT/EXT     ,"Division No. 1, Subd. X",40,1751000,262000,42000,70,2127000,10,,10,,,,,,,,,,,,,,,29000
10,1,207,0,OUT/EXT     ,Colinet,80,3786000,627000,47000,130,4308000,20,20,10,,10,10,,,,,,,,,,,,33000
10,1,219,0,OUT/EXT     ,Branch,210,8233000,1204000,39000,320,9524000,40,40,40,30,40,30,30,20,,10,10,,,,,,,29000
10,1,228,0,OUT/EXT     ,St. Bride's,200,7545000,1126000,37000,330,8862000,60,40,50,40,40,30,30,,,,10,,,,,,,27000
10,1,234,0,OUT/EXT     ,"Division No. 1, Subd. B",60,2773000,472000,45000,90,3093000,20,10,10,,,,,,,,,,,,,,,33000
10,1,240,0,OUT/EXT     ,Placentia,2230,97961000,15898000,44000,3450,110855000,600,410,490,340,250,220,210,170,140,180,110,80,80,40,100,20,,32000
10,1,254,0,OUT/EXT     ,Fox Harbour,140,5180000,729000,36000,260,6404000,50,40,40,20,20,20,,,10,,,,,,,,,25000
10,1,259,0,OUT/EXT     ,"Division No. 1, Subd. A",260,9876000,1456000,39000,420,11761000,70,90,60,40,20,30,30,30,,10,,,,,10,,,28000
10,1,263,0,OUT/EXT     ,Long Harbour-Mount Arlington Heights,190,10176000,1850000,53000,280,11036000,40,30,30,30,20,20,10,20,10,10,10,10,,10,20,,,40000
10,1,267,0,OUT/EXT     ,Southern Harbour,260,10514000,1675000,41000,400,12275000,50,60,50,50,40,20,30,20,10,10,10,,,,10,,,31000
10,1,270,0,OUT/EXT     ,Arnold's Cove,580,27761000,4842000,48000,860,30715000,120,100,120,110,60,60,40,40,30,30,30,30,20,20,40,,,36000
10,1,274,0,OUT/EXT     ,Come By Chance,180,9165000,1705000,50000,310,10452000,60,50,40,30,30,20,10,,,20,10,10,,,10,,,34000
10,1,277,0,OUT/EXT     ,Sunnyside,240,11689000,2073000,49000,370,12917000,60,50,50,40,20,30,20,10,10,10,,10,20,,20,,,35000
10,1,281,0,OUT/EXT     ,Chance Cove,160,6513000,972000,40000,290,7825000,60,50,40,30,30,20,10,,,10,,,,,,,,27000
10,1,285,0,OUT/EXT     ,Norman's Cove-Long Cove,360,14655000,2201000,41000,620,17315000,120,90,110,60,30,40,30,20,30,30,10,10,,,20,,,28000
10,1,289,0,OUT/EXT     ,Chapel Arm,260,10912000,1728000,42000,410,12539000,80,50,50,40,30,30,20,20,10,20,10,10,,,20,,,31000
10,1,293,0,OUT/EXT     ,"Division No. 1, Subd. Y",560,22903000,3383000,41000,890,26402000,160,110,130,80,80,60,60,40,40,50,30,20,10,,20,,,30000
10,1,298,0,OUT/EXT     ,Whitbourne,660,26888000,3893000,41000,1020,30792000,160,120,150,120,100,70,70,50,40,40,40,20,20,10,20,,,30000
10,1,304,0,OUT/EXT     ,"Division No. 1, Subd. E",1480,58874000,8650000,40000,2440,69010000,440,380,390,260,190,160,130,90,80,90,70,50,30,30,50,10,,28000
10,1,308,0,OUT/EXT     ,Whiteway,150,5904000,782000,40000,270,7269000,60,40,50,30,20,20,20,10,,10,,,,,,,,27000
10,1,312,0,OUT/EXT     ,Heart's Delight-Islington,350,13880000,1883000,40000,630,16877000,130,100,110,50,50,30,40,30,20,30,10,,,,,,,27000
10,1,316,0,OUT/EXT     ,Heart's Desire,100,2984000,381000,30000,210,4150000,40,50,40,20,10,,,,,,,,,,,,,20000
10,1,321,0,OUT/EXT     ,"Division No. 1, Subd. F",280,9671000,1251000,34000,460,11695000,60,80,70,70,60,20,20,10,,10,10,10,,,,,,26000
10,1,325,0,OUT/EXT     ,Heart's Content,210,8064000,1038000,38000,330,9485000,40,40,60,40,40,20,20,20,,10,10,,,,,,,29000
10,1,328,0,OUT/EXT     ,New Perlican,100,3197000,401000,31000,170,4043000,30,30,40,20,10,20,,,,,,,,,,,,23000
10,1,332,0,OUT/EXT     ,Winterton,260,9371000,1251000,36000,460,11645000,70,90,110,50,30,30,20,10,,20,,,,,,,,26000
10,1,335,0,OUT/EXT     ,Hant's Harbour,180,6095000,804000,33000,320,7787000,40,50,80,40,30,20,20,,,10,,,,,,,,24000
10,1,339,0,OUT/EXT     ,"Division No. 1, Subd. G",1110,38749000,5315000,35000,1750,45984000,250,290,310,220,190,120,80,60,50,50,40,30,20,20,10,,,26000
10,1,343,0,OUT/EXT     ,Old Perlican,410,15599000,2313000,38000,570,17422000,60,70,80,90,70,50,40,30,20,30,10,,,,,,,31000
10,1,347,0,OUT/EXT     ,Bay de Verde,260,9062000,1252000,35000,400,10743000,40,70,60,70,40,30,30,20,10,,,,,,,,,27000
10,1,352,0,OUT/EXT     ,Small Point-Adam's Cove-Blackhead-Broad Cove,210,7436000,1049000,36000,300,8504000,40,50,50,30,30,20,20,10,10,20,,,,,,,,28000
10,1,361,0,OUT/EXT     ,Salmon Cove,400,16298000,2439000,41000,620,18611000,100,100,100,60,40,40,30,20,20,30,10,20,10,10,,,,30000
10,1,365,0,OUT/EXT     ,Victoria,930,37913000,5848000,41000,1560,44448000,290,240,220,160,120,100,100,50,50,60,50,50,20,20,30,,,28000
10,1,370,0,OUT/EXT     ,Carbonear,2780,122727000,20184000,44000,4590,143133000,750,730,730,400,330,260,240,180,170,210,150,150,90,50,100,30,,31000
10,1,374,0,OUT/EXT     ,"Division No. 1, Subd. I",330,13540000,2069000,41000,550,15525000,120,70,60,50,50,50,40,30,10,10,10,10,20,,,,,28000
10,1,379,0,OUT/EXT     ,Harbour Grace,1590,70725000,11457000,44000,2610,81316000,470,400,340,240,200,170,140,110,80,120,80,80,40,40,70,20,,31000
10,1,405,0,OUT/EXT     ,"Division No. 1, Subd. K",240,12009000,2019000,49000,350,12868000,60,40,50,30,20,30,20,20,20,20,10,10,10,,10,,,37000
10,1,415,0,OUT/EXT     ,"Division No. 1, Subd. L",320,13452000,1972000,43000,460,15079000,70,50,70,40,30,30,30,30,30,20,10,10,10,,10,,,33000
10,1,421,0,OUT/EXT     ,"Division No. 1, Subd. M",220,8927000,1387000,40000,400,10828000,80,70,60,40,20,30,10,10,20,20,20,,,,,,,27000
10,1,429,0,OUT/EXT     ,Clarke's Beach,1220,57015000,9342000,47000,1920,64537000,330,260,240,160,150,120,90,100,70,110,80,70,40,30,40,20,,34000
10,1,434,0,OUT/EXT     ,South River,330,15249000,2542000,46000,520,17386000,80,60,80,40,30,40,30,30,20,30,20,,20,,10,,,33000
10,1,437,0,OUT/EXT     ,Cupids,320,12839000,1901000,40000,510,14763000,90,80,80,40,40,30,30,30,20,30,10,10,10,,10,,,29000
10,1,446,0,OUT/EXT     ,Brigus,370,17437000,3115000,48000,670,20702000,140,110,90,70,50,40,30,30,20,30,20,10,10,,10,,,31000
10,1,452,0,OUT/EXT     ,"Division No. 1, Subd. O",520,21607000,3465000,41000,840,25030000,140,130,120,60,70,60,40,50,30,50,30,20,10,10,20,,,30000
10,1,456,0,OUT/EXT     ,Colliers,360,16839000,2815000,47000,550,19009000,90,60,80,60,40,40,30,30,30,20,20,20,20,10,20,,,34000
10,1,461,0,OUT/EXT     ,Conception Harbour,390,18931000,3138000,49000,620,21394000,110,80,80,50,40,40,30,40,30,40,30,30,10,20,30,,,34000
10,1,464,0,OUT/EXT     ,Avondale,370,17913000,3064000,49000,570,20267000,90,80,60,60,50,30,30,30,20,30,30,20,20,,20,,,35000
10,1,469,0,OUT/EXT     ,Harbour Main-Chapel's Cove-Lakeview,640,31887000,5597000,50000,910,34652000,130,80,120,70,60,70,60,40,40,60,40,40,30,20,30,10,,38000
10,1,472,0,OUT/EXT     ,Holyrood,1350,66459000,11149000,49000,1890,72316000,260,200,190,160,140,130,110,120,100,140,90,80,60,30,80,10,,38000
10,1,490,0,OUT/EXT     ,"Division No. 1, Subd. R",1050,37737000,5009000,36000,2380,51355000,610,570,320,200,150,110,100,60,60,80,40,30,20,,20,,,22000
10,1,0,0,TOTAL       ,Total (CD/DR),29310,1248056000,195904000,43000,47210,1441872000,7990,6940,6960,4620,3670,3100,2600,2070,1630,2130,1460,1170,870,570,1100,270,60,31000
10,2,1,0,OUT/EXT     ,"Division No. 2, Subd. E",80,3680000,656000,45000,130,4361000,20,20,20,20,,,,,,10,,,,,,,,33000
10,2,2,0,OUT/EXT     ,Lewin's Cove,250,11009000,1765000,44000,400,12568000,70,50,60,30,30,30,20,10,20,20,20,10,,,,,,32000
10,2,5,0,OUT/EXT     ,Burin,1600,76918000,13387000,48000,2530,86736000,470,300,350,250,170,140,140,100,80,110,100,80,70,60,90,20,10,34000
10,2,6,0,OUT/EXT     ,"Division No. 2, Subd. F",60,2245000,368000,39000,100,2694000,20,20,20,10,10,,,,,,,,,,,,,27000
10,2,8,0,OUT/EXT     ,St. Lawrence,600,25431000,3825000,42000,1040,30465000,190,120,170,140,80,70,50,50,40,40,30,30,10,10,20,,,29000
10,2,11,0,OUT/EXT     ,Lawn,320,13729000,2090000,43000,540,16090000,100,70,70,60,40,30,30,30,20,20,20,20,10,,20,,,30000
10,2,12,0,OUT/EXT     ,Lamaline,430,14528000,1975000,34000,710,17601000,110,150,100,90,60,50,40,20,10,20,20,20,,,,,,25000
10,2,16,0,OUT/EXT     ,"Division No. 2, Subd. H",30,1028000,134000,31000,60,1319000,10,10,10,,,,,,,,,,,,,,,22000
10,2,17,0,OUT/EXT     ,Frenchman's Cove,100,4033000,558000,39000,150,4647000,20,20,20,20,20,10,,,,,,,,,,,,31000
10,2,18,0,OUT/EXT     ,Fortune,800,28756000,3925000,36000,1270,33871000,220,180,220,160,100,80,70,40,40,60,30,30,20,,20,,,27000
10,2,19,0,OUT/EXT     ,Grand Bank,1290,52487000,7696000,41000,2130,62312000,330,280,390,210,170,120,130,90,70,90,80,70,30,10,30,20,,29000
10,2,21,0,OUT/EXT     ,Garnish,330,14636000,2325000,45000,480,16459000,70,40,70,60,40,30,30,30,10,30,10,20,10,,20,,,34000
10,2,23,0,OUT/EXT     ,Winterland,190,9297000,1493000,48000,280,10169000,50,20,40,30,20,20,20,10,10,20,10,,,,,,,36000
10,2,24,0,OUT/EXT     ,Marystown,3130,153514000,26198000,49000,4950,172627000,920,610,620,480,360,270,220,170,140,260,230,190,150,100,170,40,10,35000
10,2,26,0,OUT/EXT     ,"Division No. 2, Subd. I",70,2581000,348000,36000,130,3203000,30,20,20,10,,,,,,,,,,,,,,25000
10,2,27,0,OUT/EXT     ,Bay L'Argent,120,4985000,784000,41000,240,6314000,50,40,40,30,10,20,,,,10,10,,,,,,,26000
10,2,29,0,OUT/EXT     ,"Division No. 2, Subd. J",50,1831000,255000,35000,100,2348000,20,20,20,10,,,,,,,,,,,,,,24000
10,2,30,0,OUT/EXT     ,Grand le Pierre,120,3779000,461000,33000,220,5266000,40,50,40,20,20,20,10,,,10,,,,,,,,24000
10,2,31,0,OUT/EXT     ,"Division No. 2, Subd. C",250,9343000,1440000,38000,390,10908000,60,60,60,50,40,20,20,20,,10,10,10,,,,,,28000
10,2,33,0,OUT/EXT     ,Rushoon,150,7800000,1469000,53000,270,9121000,50,50,30,20,10,,10,10,,20,10,10,,,20,,,34000
10,2,34,0,OUT/EXT     ,Parkers Cove,120,5755000,1019000,48000,200,6562000,40,30,30,10,10,,,,,10,10,,,,,,,34000
10,2,36,0,OUT/EXT     ,Terrenceville,270,12167000,2081000,46000,460,14239000,100,70,50,40,30,20,20,20,10,30,20,20,,,10,,,31000
10,2,37,0,OUT/EXT     ,Red Harbour,110,4230000,647000,38000,170,4800000,30,30,20,20,10,10,,,,,,,,,,,,29000
10,2,39,0,OUT/EXT     ,English Harbour East,80,2607000,315000,33000,140,3341000,30,20,30,20,10,,,,,,,,,,,,,24000
10,2,40,0,OUT/EXT     ,Baine Harbour,110,5595000,980000,49000,190,6413000,30,30,20,20,10,10,10,,,,,10,,,,,,34000
10,2,41,0,OUT/EXT     ,St. Bernard's-Jacques Fontaine,250,11534000,2004000,47000,420,13388000,80,60,70,40,30,20,20,10,10,20,10,10,,,20,,,32000
10,2,48,0,OUT/EXT     ,"Division No. 2, Subd. K",300,13087000,2082000,44000,480,15276000,80,60,70,60,40,40,30,20,20,20,,,,10,20,,,32000
10,2,55,0,OUT/EXT     ,Little Bay East,50,1728000,218000,38000,110,2307000,30,20,20,,,,,,,,,,,,,,,22000
10,2,0,0,TOTAL       ,Total (CD/DR),11270,498311000,80499000,44000,18270,575404000,3270,2460,2660,1910,1350,1070,910,690,550,870,680,590,370,270,480,120,20,31000
10,3,2,0,OUT/EXT     ,Rencontre East,70,2025000,198000,29000,120,2566000,20,30,30,10,,,,,,,,,,,,,,21000
10,3,3,0,OUT/EXT     ,St. Jacques-Coomb's Cove,300,10850000,1334000,36000,510,12955000,100,90,80,40,50,40,30,20,20,20,10,,,,,,,25000
10,3,4,0,OUT/EXT     ,Belleoram,180,4729000,492000,26000,340,6163000,80,90,60,30,30,10,10,,,,,,,,,,,18000
10,3,5,0,OUT/EXT     ,Pool's Cove,90,3546000,463000,39000,160,4231000,30,30,30,10,10,,10,,,,,,,,,,,27000
10,3,8,0,OUT/EXT     ,Harbour Breton,960,37146000,5375000,39000,1480,42357000,270,160,210,200,140,100,90,50,50,70,50,40,20,10,20,,,29000
10,3,10,0,OUT/EXT     ,Seal Cove (Fortune Bay),130,5095000,743000,39000,250,6514000,50,50,50,20,10,10,10,,,10,10,,,,,,,26000
10,3,11,0,OUT/EXT     ,Hermitage-Sandyville,240,8728000,1211000,37000,410,10547000,80,80,70,40,30,20,20,20,10,20,,,,,,,,26000
10,3,12,0,OUT/EXT     ,Gaultois,110,2925000,349000,27000,160,3485000,20,40,40,10,,,10,10,,,,,,,,,,22000
10,3,14,0,OUT/EXT     ,"Division No. 3, Subd. D",120,4607000,641000,38000,740,15282000,230,160,100,80,40,30,20,10,20,10,20,10,,,,,,21000
10,3,18,0,OUT/EXT     ,Milltown-Head of Bay d'Espoir,500,21156000,3289000,43000,820,24539000,170,120,110,80,60,50,50,30,30,40,30,30,20,10,20,,,30000
10,3,19,0,OUT/EXT     ,St. Alban's,720,31569000,5261000,44000,1190,36588000,210,190,180,120,90,70,60,40,30,40,40,20,40,20,30,10,,31000
10,3,21,0,OUT/EXT     ,"Division No. 3, Subd. E",70,2027000,246000,31000,100,2333000,20,10,20,,10,10,,,,,,,,,,,,25000
10,3,24,0,OUT/EXT     ,"Division No. 3, Subd. F",70,1961000,231000,28000,100,2269000,20,20,20,,10,10,,,,,,,,,,,,22000
10,3,26,0,OUT/EXT     ,Ramea,290,10758000,1572000,37000,510,12869000,130,50,90,50,50,40,20,10,10,20,20,,,,,,,25000
10,3,28,0,OUT/EXT     ,Burgeo,890,33408000,4859000,37000,1350,38198000,220,170,240,110,110,130,90,60,30,70,40,30,20,,20,,,28000
10,3,31,0,OUT/EXT     ,"Division No. 3, Subd. H",190,6552000,849000,34000,290,7561000,60,40,30,40,20,30,20,,10,10,,,,,,,,26000
10,3,32,0,OUT/EXT     ,Isle aux Morts,360,14505000,2221000,40000,590,17125000,100,80,100,70,50,40,20,10,20,30,30,20,10,,,,,29000
10,3,33,0,OUT/EXT     ,Burnt Islands,380,16836000,2818000,44000,560,18686000,100,60,90,60,40,30,20,20,20,40,40,20,20,,20,,,33000
10,3,34,0,OUT/EXT     ,Channel-Port aux Basques,2720,110988000,15903000,41000,4060,126788000,570,480,600,460,380,290,210,180,170,280,150,120,60,40,50,20,,31000
10,3,38,0,OUT/EXT     ,"Division No. 3, Subd. I",50,1906000,282000,35000,90,2255000,10,30,10,,,,,,,,,,,,,,,25000
10,3,45,0,OUT/EXT     ,Rose Blanche-Harbour le Cou,290,10254000,1465000,36000,500,12579000,90,90,100,50,40,20,20,20,10,20,20,10,,,,,,25000
10,3,0,0,TOTAL       ,Total (CD/DR),8730,341572000,49801000,39000,14330,405891000,2570,2050,2260,1490,1180,950,730,520,440,700,480,350,230,120,200,50,10,28000
10,4,1,0,OUT/EXT     ,"Division No. 4, Subd. A",880,34017000,4494000,39000,1430,40384000,230,210,220,160,120,100,70,70,50,70,40,30,20,10,20,,,28000
10,4,6,0,OUT/EXT     ,"Division No. 4, Subd. B",610,21529000,2872000,35000,1150,27820000,220,220,200,130,80,70,50,30,40,40,40,20,10,,,,,24000
10,4,11,0,OUT/EXT     ,"Division No. 4, Subd. C",60,2211000,321000,39000,130,2975000,40,30,20,,10,,,,,,,,,,,,,22000
10,4,13,0,OUT/EXT     ,St. George's,830,32004000,4632000,39000,1510,39144000,320,250,200,140,140,100,80,60,50,50,30,30,20,10,20,,,26000
10,4,16,0,OUT/EXT     ,"Division No. 4, Subd. D",110,4970000,751000,44000,200,5824000,40,30,30,30,10,10,10,,,,,,,,,,,30000
10,4,17,0,OUT/EXT     ,Gallants,40,1417000,185000,34000,70,1697000,10,,10,,,,,,,,,,,,,,,25000
10,4,18,0,OUT/EXT     ,Stephenville Crossing,860,33716000,4869000,39000,1730,42756000,380,330,250,150,110,90,100,80,50,60,40,30,20,10,20,,,25000
10,4,19,0,OUT/EXT     ,Stephenville,3160,140039000,21793000,44000,5510,165736000,960,1010,710,500,370,300,290,240,170,290,200,160,120,60,110,30,10,30000
10,4,20,0,OUT/EXT     ,Kippens,1080,56262000,9657000,52000,1530,60805000,230,140,150,110,100,110,110,90,70,100,80,80,60,40,50,20,,40000
10,4,21,0,OUT/EXT     ,Port au Port East,1050,37834000,5231000,36000,1980,47554000,440,380,300,190,160,120,70,70,60,70,40,30,20,10,20,,,24000
10,4,22,0,OUT/EXT     ,"Division No. 4, Subd. E",90,2883000,367000,32000,180,3712000,50,30,30,20,20,,,,,,,,,,,,,21000
10,4,33,0,OUT/EXT     ,Cape St. George,370,13346000,1825000,36000,730,17171000,170,170,100,50,60,50,20,20,20,30,20,20,,,,,,23000
10,4,37,0,OUT/EXT     ,Lourdes,600,19397000,2398000,32000,1160,25178000,250,260,160,120,120,70,60,40,20,30,20,,,,,,,22000
10,4,42,0,OUT/EXT     ,Port au Port West-Aguathuna-Felix Cove,130,4642000,622000,35000,260,5993000,50,50,50,30,20,20,10,,,,,,,,,,,23000
10,4,0,0,TOTAL       ,Total (CD/DR),9870,404266000,60018000,41000,17560,486748000,3370,3120,2430,1640,1340,1070,890,700,530,740,500,430,280,160,260,80,20,28000
10,5,1,0,OUT/EXT     ,"Division No. 5, Subd. A",80,2924000,431000,37000,150,3741000,40,20,30,10,20,10,,,,,,,,,,,,24000
10,5,3,0,OUT/EXT     ,"Division No. 5, Subd. G",250,8638000,1126000,34000,450,10711000,80,90,80,30,40,30,20,20,10,20,,,,,,,,24000
10,5,4,0,OUT/EXT     ,Deer Lake,2660,118032000,18659000,44000,4230,135080000,710,550,640,410,310,270,240,210,160,190,140,110,90,50,110,40,,32000
10,5,5,0,OUT/EXT     ,Jackson's Arm,170,5243000,677000,31000,290,6570000,50,60,60,30,10,10,20,10,,,,,,,,,,23000
10,5,6,0,OUT/EXT     ,Howley,150,6028000,844000,39000,240,6976000,40,40,30,30,10,20,20,10,10,10,,,,,,,,29000
10,5,8,0,OUT/EXT     ,Hampden,270,8916000,1129000,33000,510,11487000,110,90,100,40,40,40,20,20,20,10,10,,,,,,,23000
10,5,9,0,OUT/EXT     ,Reidville,230,9522000,1460000,42000,360,10894000,70,50,60,40,20,20,20,20,10,20,,10,,,,,,30000
10,5,10,0,OUT/EXT     ,"Division No. 5, Subd. F",40,1667000,269000,42000,60,1926000,,10,20,,,,,,,,,,,,,,,32000
10,5,12,0,OUT/EXT     ,Pasadena,2140,105484000,17417000,49000,2860,113102000,380,240,320,240,210,220,190,160,150,180,180,130,100,50,100,20,,40000
10,5,14,0,OUT/EXT     ,Cormack,320,12217000,1680000,38000,500,14178000,100,60,70,50,50,40,30,20,20,30,10,,,,,,,28000
10,5,23,0,OUT/EXT     ,Cox's Cove,360,11695000,1628000,32000,610,14656000,80,120,120,80,60,50,20,20,10,10,,,,,,,,24000
10,5,24,0,OUT/EXT     ,Lark Harbour,260,8325000,1075000,33000,430,10423000,70,80,60,80,40,20,20,10,,,,,,,,,,24000
10,5,35,0,OUT/EXT     ,York Harbour,170,6695000,1016000,39000,280,7944000,40,40,50,30,20,20,10,20,,,,10,,,,,,28000
10,5,0,0,TOTAL       ,Total (CD/DR),7090,305386000,47412000,43000,10970,347686000,1780,1450,1630,1080,830,740,610,540,430,510,380,300,230,120,260,80,20,32000
10,6,1,0,OUT/EXT     ,"Division No. 6, Subd. D",70,3146000,482000,43000,140,3972000,20,20,30,10,10,,10,,,,,,,,,,,29000
10,6,3,0,OUT/EXT     ,Norris Arm,450,18495000,2725000,41000,740,21346000,160,80,100,70,50,60,50,30,40,30,30,20,,10,20,,,29000
10,6,8,0,OUT/EXT     ,"Division No. 6, Subd. E",100,3452000,489000,36000,150,3985000,20,20,20,20,10,20,,10,,,,,,,,,,27000
10,6,9,0,OUT/EXT     ,Gander,6510,341022000,59359000,52000,8730,364042000,1170,790,880,750,610,600,570,530,370,570,480,440,280,170,360,140,30,42000
10,6,12,0,OUT/EXT     ,Glenwood,810,33509000,5150000,41000,1150,37152000,150,140,170,110,110,80,90,60,40,70,40,30,20,10,20,10,,32000
10,6,19,0,OUT/EXT     ,Bishop's Falls,1860,75299000,10936000,40000,3010,87239000,590,400,390,320,230,200,180,130,120,150,100,70,50,30,60,,,29000
10,6,21,0,OUT/EXT     ,Peterview,250,7065000,754000,28000,660,10788000,220,160,80,70,50,30,20,20,10,10,,,,,,,,16000
10,6,22,0,OUT/EXT     ,Botwood,1940,75129000,10399000,39000,3360,90512000,630,530,550,310,260,210,190,160,110,130,90,70,60,30,40,10,,27000
10,6,26,0,OUT/EXT     ,Badger,500,21517000,3468000,43000,760,24436000,110,110,100,60,70,50,50,50,40,40,20,20,20,,20,,,32000
10,6,28,0,OUT/EXT     ,Millertown,70,5386000,1186000,78000,110,5835000,20,,20,10,,,,,,,,,,,,,,55000
10,6,29,0,OUT/EXT     ,"Division No. 6, Subd. A",50,2206000,388000,43000,80,2560000,20,,20,,,,,,,,,,,,,,,31000
10,6,31,0,OUT/EXT     ,Buchans,350,13583000,2005000,39000,640,17107000,130,80,120,70,50,30,30,20,10,30,20,10,20,,,,,27000
10,6,0,0,TOTAL       ,Total (CD/DR),12970,599809000,97342000,46000,19520,668974000,3240,2320,2480,1810,1460,1300,1210,1010,750,1040,790,660,450,260,540,180,30,34000
10,7,1,0,OUT/EXT     ,"Division No. 7, Subd. M",1130,47264000,7592000,42000,1800,55091000,280,270,300,200,140,100,90,70,40,80,60,50,30,30,50,10,,31000
10,7,6,0,OUT/EXT     ,"Division No. 7, Subd. L",170,6438000,942000,37000,300,7957000,50,50,50,40,20,30,20,,,10,,,,,,,,27000
10,7,9,0,OUT/EXT     ,"Division No. 7, Subd. K",70,2502000,302000,34000,130,3086000,20,30,20,20,10,,,,,,,,,,,,,24000
10,7,13,0,OUT/EXT     ,Clarenville,4300,205202000,35140000,48000,6430,227569000,1020,770,870,590,460,410,370,300,220,360,280,250,160,100,210,60,20,35000
